geoname;latitud;longitud
3427804;-2.831.667;-5.851.667
3427805;-3.048.353;-5.866.486
3427806;-2.670.991;-5.475.318
3427807;-2.781.084;-5.603.499
3427808;-2.805.771;-5.633.071
3427809;-2.867.173;-5.984.611
3427810;-3.753.333;-5.746.667
3427811;-3.755.325;-5.736.514
3427812;-2.863.247;-5.894.777
3427813;-2.916.923;-5.843.935
3427814;-2.824.482;-5.614.295
3427815;-28.25;-5.611.667
3427816;-3.552.098;-5.850.374
3427817;-2.501.288;-5.932.579
3427818;-3.470.025;-5.851.186
3427819;-2.918.333;-5.958.333
3427820;-3.794.215;-575.338
3427821;-2.807.929;-5.915.616
3427822;-27.5;-59.75
3427823;-2.727.402;-5.988.299
3427824;-2.936.327;-5.704.768
3427825;-2.958.723;-5.696.561
3427826;-2.950.616;-5.697.488
3427827;-3.615.887;-5.993.707
3427828;-3.729.425;-5.888.664
3427829;-3.699.478;-5.833.092
3427830;-3.726.478;-5.909.298
3427831;-3.735.289;-5.909.683
3427832;-3.733.333;-59.25
3427833;-3.732.167;-5.913.316
3427834;-3.723.284;-5.922.846
3427835;-3.658.955;-574.956
3427836;-3.306.667;-6.598.333
3427837;-3.521.667;-5.751.667
3427838;-2.848.368;-5.662.119
3427839;-3.830.827;-5.882.701
3427840;-3.820.482;-5.874.061
3427841;-2.732.487;-5.481.587
3427842;-3.210.344;-5.936.928
3427843;-3.143.333;-5.966.667
3427844;-3.132.472;-5.887.106
3427845;-3.252.371;-5.830.262
3427846;-2.788.333;-5.773.333
3427847;-2.976.165;-5.965.131
3427848;-2.741.438;-5.878.854
3427849;-2.977.574;-5.961.325
3427850;-3.222.566;-5.861.506
3427851;-3.256.183;-5.828.152
3427852;-2.915.328;-587.248
3427853;-2.816.667;-57.95
3427854;-3.254.604;-5.822.068
3427855;-32.3;-5.913.333
3427856;-3.233.333;-5.933.333
3427857;-3.375.706;-5.956.788
3427858;-3.342.179;-5.954.028
3427859;-3.328.333;-58.5
3427860;-3.229.685;-5.908.027
3427861;-2.978.824;-5.954.958
3427862;-2.916.482;-5.869.759
3427863;-2.948.139;-5.986.158
3427864;-3.303.333;-5.873.333
3427865;-37.849;-5.790.094
3427866;-2.971.667;-5.958.333
3427867;-2.852.418;-5.636.053
3427868;-2.802.891;-5.593.128
3427869;-2.589.647;-5.861.308
3427870;-3.496.835;-5.840.814
3427871;-2.757.888;-5.567.324
3427872;-2.759.742;-5.564.247
3427873;-27.7;-5.676.667
3427874;-2.798.244;-5.656.242
3427875;-2.881.644;-5.839.283
3427876;-26.856;-588.556
3427877;-2.841.265;-59.26
3427878;-2.906.416;-5.641.684
3427879;-2.775.672;-5.670.229
3427880;-2.797.738;-5.696.632
3427881;-2.786.101;-5.778.707
3427882;-28.15;-5.778.333
3427883;-2.786.647;-5.779.239
3427884;-2.496.667;-5.881.667
3427885;-3.180.135;-5.993.477
3427886;-3.468.992;-5.852.875
3427887;-2.697.271;-5.520.474
3427888;-2.831.067;-5.828.653
3427889;-2.807.281;-5.887.461
3427890;-2.806.304;-5.586.782
3427891;-2.816.667;-5.708.333
3427892;-2.826.607;-559.638
3427893;-368.801;-566.657
3427894;-3.462.006;-5.831.199
3427895;-268.981;-5.465.371
3427896;-34.75;-59.75
3427897;-347.702;-5.968.783
3427898;-3.435.583;-5.943.572
3427899;-34.5;-5.911.667
3427900;-2.935.761;-5.677.509
3427901;-2.878.644;-569.186
3427902;-2.869.814;-5.890.382
3427903;-2.852.323;-5.848.349
3427904;-277.969;-5.883.274
3427905;-2.936.393;-5.764.293
3427906;-2.929.957;-5.945.376
3427907;-3.768.795;-5.744.624
3427908;-3.173.657;-5.991.081
3427909;-3.005.845;-5.851.708
3427910;-2.770.675;-5.883.033
3427911;-2.765.969;-5.877.634
3427912;-3.759.988;-594.163
3427913;-2.871.497;-5.938.373
3427914;-2.497.101;-5.817.977
3427915;-2.927.069;-5.894.502
3427916;-3.429.794;-5.932.513
3427917;-29.6;-5.881.667
3427918;-2.758.333;-58.3
3427919;-2.596.029;-5.906.641
3427920;-255.826;-5.861.001
3427921;-2.558.553;-5.812.063
3427922;-2.506.566;-5.814.136
3427923;-2.867.389;-5.710.901
3427924;-3.574.879;-5.911.128
3427925;-316.062;-5.898.043
3427926;-352.118;-5.949.298
3427927;-2.515.912;-5.834.808
3427928;-2.571.667;-59.85
3427929;-3.796.464;-5.763.766
3427930;-3.684.305;-5.850.826
3427931;-3.464.626;-5.838.672
3427932;-3.098.236;-5.977.538
3427933;-2.558.008;-592.589
3427934;-2.857.848;-569.805
3427935;-3.106.763;-5.863.828
3427936;-2.728.881;-5.419.447
3427937;-2.806.465;-557.592
3427938;-2.899.007;-5.891.341
3427939;-2.752.541;-5.703.389
3427940;-2.752.668;-5.697.664
3427941;-3.648.345;-5.786.557
3427942;-2.776.667;-5.981.667
3427944;-2.811.667;-58.85
3427945;-293.001;-568.322
3427946;-2.884.121;-5.643.213
3427947;-2.446.667;-59.5
3427948;-2.523.053;-5.986.815
3427949;-2.520.228;-5.833.219
3427950;-371.359;-5.764.532
3427951;-3.713.818;-5.763.471
3427952;-2.863.205;-5.674.948
3427953;-2.587.101;-5.968.892
3427954;-2.995.605;-5.806.052
3427955;-264.058;-5.945.215
3427956;-3.789.095;-5.852.039
3427957;-3.783.135;-5.804.987
3427958;-3.795.269;-5.777.161
3427959;-37.8;-5.901.667
3427960;-3.766.046;-5.921.408
3427961;-3.743.333;-59.35
3427962;-3.712.981;-5.899.051
3427963;-3.701.091;-5.985.201
3427964;-3.703.253;-598.638
3427965;-3.565.849;-5.849.928
3427966;-2.582.793;-5.940.114
3427967;-3.662.328;-5.972.674
